epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,13675.2,0.67362,0.44827,0.96633,0.93688,0.93165,0.95879,0.79706,0.59709,0.34145,0.91257,0.004159,0.004159,0.004159
61,13901.9,0.6734,0.44896,0.96488,0.95833,0.91123,0.95775,0.79764,0.5978,0.33995,0.91295,0.00406,0.00406,0.00406
62,14134.1,0.66692,0.4447,0.96232,0.95311,0.91447,0.95761,0.79906,0.59776,0.34032,0.9127,0.003961,0.003961,0.003961
63,14366.5,0.66466,0.43916,0.96267,0.95087,0.91493,0.95838,0.80018,0.5968,0.34097,0.91171,0.003862,0.003862,0.003862
64,14598.2,0.66252,0.43475,0.96258,0.94987,0.91536,0.95816,0.79998,0.59583,0.33978,0.91119,0.003763,0.003763,0.003763
65,14827.9,0.66199,0.43441,0.96003,0.94708,0.91704,0.95702,0.79946,0.59581,0.33847,0.91156,0.003664,0.003664,0.003664
66,15057.8,0.65407,0.42903,0.95705,0.94762,0.91797,0.95797,0.80089,0.59519,0.33707,0.91115,0.003565,0.003565,0.003565
67,15280,0.65253,0.42584,0.95426,0.94912,0.91912,0.95784,0.8001,0.59457,0.33671,0.91135,0.003466,0.003466,0.003466
68,15510.2,0.65059,0.42418,0.95547,0.95,0.91996,0.9575,0.80026,0.59338,0.33642,0.91142,0.003367,0.003367,0.003367
69,15737.9,0.64497,0.41899,0.95078,0.94795,0.92046,0.95764,0.8008,0.59225,0.33563,0.91122,0.003268,0.003268,0.003268
70,15958.5,0.64361,0.41961,0.94949,0.94689,0.92196,0.9573,0.80204,0.591,0.33631,0.91028,0.003169,0.003169,0.003169
71,16176.8,0.63666,0.41327,0.94924,0.94753,0.92073,0.95724,0.80333,0.59039,0.33545,0.90988,0.00307,0.00307,0.00307
72,16396,0.63909,0.41215,0.94923,0.94699,0.92003,0.95725,0.80231,0.59043,0.33533,0.91009,0.002971,0.002971,0.002971
73,16614.7,0.63089,0.41097,0.94597,0.94983,0.9186,0.95711,0.80341,0.58975,0.33476,0.91022,0.002872,0.002872,0.002872
74,16833,0.62652,0.40572,0.94454,0.95202,0.91804,0.95751,0.80331,0.58939,0.3344,0.91048,0.002773,0.002773,0.002773
